National Health Expenditure (NHE) Amounts by Type of Expenditure and Source of Funds: Calendar Years 1960-2025 in PROJECTIONS format,,,,,,,,,,,,,,,,,,,,,,,,,
The projections are based on the 2015 version of the NHE released in December 2016.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
LEVELS in $Millions,,,,,,,,,,,,,,,,,,,,,,,,,
First projected year is 2016,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,Projections_Vintage,Historical_or_Projected_Data,YEAR,TOTAL,OUT_OF_POCKET,TOTAL_HEALTH_INSURANCE,PRIVATE_HEALTH_INSURANCE,MEDICARE,MEDICAID,OTHER_HEALTH_INSURANCE,OTHER_THIRD_PARTY,YEAR,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1967,608,375,75,37,10,28,0,157,1967,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1968,644,364,84,40,13,31,0,195,1968,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1969,678,348,86,42,15,29,0,243,1969,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1970,726,324,100,43,18,40,0,301,1970,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1971,793,287,128,49,22,56,0,378,1971,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1972,893,310,161,65,27,69,0,422,1972,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1973,1022,393,223,99,34,90,0,406,1973,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1974,1163,440,286,130,47,108,0,437,1974,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1975,1337,643,418,219,63,136,0,276,1975,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1976,1564,743,513,288,74,150,0,308,1976,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1977,2058,1021,690,445,87,158,0,347,1977,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1978,2403,1200,801,550,106,144,0,402,1978,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1979,2847,1394,972,672,131,169,0,480,1979,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1980,3478,1699,1207,859,167,181,0,572,1980,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1981,4273,2017,1559,1133,201,225,0,697,1981,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1982,4917,2243,1863,1391,259,214,0,811,1982,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1983,5651,2470,2241,1681,332,228,0,940,1983,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1984,7328,3183,2986,2366,383,238,0,1158,1984,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1985,8113,3301,3389,2668,465,256,0,1423,1985,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1986,9284,3596,4016,3150,568,298,0,1672,1986,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1987,11329,4274,5065,4043,680,342,0,1991,1987,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1988,13722,5132,6270,5115,794,362,0,2319,1988,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1989,14499,5199,6730,5452,913,366,0,2570,1989,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1990,17278,6136,8339,6761,1132,445,0,2804,1990,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1991,18559,6287,9197,7272,1376,549,0,3075,1991,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1992,20860,6867,10561,8328,1639,594,0,3431,1992,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1993,22956,7299,11989,9273,1882,834,0,3668,1993,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1994,23974,7291,12852,9694,2299,859,0,3831,1994,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1995,26671,7797,14793,10840,2937,1016,0,4080,1995,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1996,28857,8090,16458,11751,3500,1207,0,4309,1996,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1997,31275,9098,17581,12435,3835,1311,0,4596,1997,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1998,33424,9765,19076,12741,5004,1324,6,4583,1998,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1999,34614,10446,19583,13376,4727,1438,42,4585,1999,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y2000,36647,10934,21136,14089,5406,1585,56,4577,2000,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y2001,40266,11637,23885,15520,6461,1829,74,4744,2001,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y2002,43338,12355,26027,16896,6743,2268,120,4956,2002,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y2003,46523,13063,28535,18512,7469,2442,113,4925,2003,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y2004,50211,13834,31126,19797,8288,2935,106,5251,2004,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y2005,52795,14190,33175,20376,9449,3229,121,5429,2005,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y2006,55264,14820,34883,21203,10212,3295,173,5561,2006,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y2007,60055,16190,37774,23140,10957,3524,153,6091,2007,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y2008,64540,17216,40916,24418,12383,3951,163,6408,2008,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y2009,67152,17352,43410,24597,13764,4874,175,6390,2009,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y2010,69849,17982,45241,25377,14537,5160,168,6626,2010,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y2011,72748,18637,47390,26514,15677,4994,205,6721,2011,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y2012,76429,19430,49952,27843,16893,4989,227,7047,2012,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y2013,78796,19845,51997,28168,18216,5359,253,6954,2013,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y2014,82826,20651,55165,29038,19619,6258,250,7010,2014,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y2015,87715,21772,58688,30196,21230,6973,289,7255,2015,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Projected,Y2016,91989,22821,61614,31293,22706,7319,296,7554,2016,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Projected,Y2017,97066,24030,65112,32759,24310,7688,355,7924,2017,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Projected,Y2018,102543,25276,68951,34418,26048,8107,379,8315,2018,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Projected,Y2019,108617,26550,73347,36172,28170,8607,398,8720,2019,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Projected,Y2020,115008,28016,77843,37827,30475,9132,409,9148,2020,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Projected,Y2021,121413,29426,82391,39645,32640,9673,433,9596,2021,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Projected,Y2022,128102,30889,87156,41549,34913,10238,455,10057,2022,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Projected,Y2023,135179,32407,92240,43500,37426,10836,478,10532,2023,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Projected,Y2024,142513,34001,97495,45490,40035,11468,503,11017,2024,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Projected,Y2025,149404,35647,102244,47469,42106,12141,528,11512,2025,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1960,57,7,3,1,0,0,2,46,1960,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1961,61,8,3,2,0,0,2,50,1961,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1962,65,8,3,2,0,0,2,53,1962,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1963,69,8,4,2,0,0,2,57,1963,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1964,75,9,4,2,0,0,2,62,1964,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1965,89,11,4,2,0,0,2,74,1965,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1966,108,13,15,2,9,2,2,79,1966,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1967,164,14,57,3,48,3,2,93,1967,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1968,238,21,80,5,67,5,3,137,1968,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1969,272,24,94,7,75,9,3,153,1969,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1970,220,21,83,7,59,15,3,116,1970,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1971,194,19,82,7,52,20,3,92,1971,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1972,220,23,96,9,61,22,4,101,1972,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1973,276,29,120,14,79,22,5,128,1973,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1974,423,47,197,25,128,38,6,180,1974,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1975,623,79,330,48,189,86,7,214,1975,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1976,896,119,498,83,272,134,8,279,1976,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1977,1147,152,643,121,352,162,9,352,1977,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1978,1556,229,824,190,434,191,10,503,1978,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1979,1899,283,1043,255,538,240,11,574,1979,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1980,2378,363,1277,349,638,277,12,739,1980,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1981,2938,437,1700,445,830,412,13,801,1981,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1982,3482,513,2125,549,1074,488,15,844,1982,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1983,4237,625,2642,696,1316,615,16,970,1983,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1984,5129,769,3230,884,1554,774,17,1130,1984,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1985,5633,885,3547,1046,1597,886,18,1201,1985,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1986,6368,1095,3934,1324,1570,1019,21,1340,1986,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1987,6636,1140,4199,1405,1558,1213,23,1297,1987,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1988,8406,1641,5162,2054,1725,1358,25,1603,1988,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1989,10213,1954,6445,2476,2188,1754,28,1814,1989,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1990,12534,2236,8299,2860,3263,2144,32,2000,1990,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1991,15135,2537,10442,3270,4641,2495,35,2156,1991,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1992,18690,3004,13316,3892,6446,2939,39,2370,1992,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1993,22748,3632,16526,4721,8305,3456,44,2590,1993,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1994,27307,4137,20360,5386,11084,3841,48,2809,1994,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1995,32270,5151,24037,6706,12964,4313,53,3081,1995,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1996,35716,5955,26507,7740,14025,4676,66,3255,1996,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1997,36885,6339,27313,8217,13850,5169,77,3233,1997,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1998,34072,6986,23915,8848,9422,5558,87,3170,1998,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y1999,32756,6778,22611,8406,8191,5913,101,3368,1999,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y2000,32294,6201,23178,7766,8546,6756,111,2915,2000,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y2001,34271,6310,25073,6771,9900,8281,121,2888,2001,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y2002,36464,6003,27704,6531,11338,9702,133,2757,2002,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y2003,40179,5962,31469,6659,13235,11404,172,2747,2003,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y2004,44641,6138,35687,6500,15536,13471,180,2816,2004,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y2005,49343,6475,40014,6639,18208,14907,260,2855,2005,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y2006,52052,5806,43770,5530,21060,16905,275,2477,2006,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y2007,57475,5640,49347,5263,24264,19590,230,2487,2007,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y2008,62165,5729,54062,5080,27052,21646,284,2374,2008,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y2009,67296,5583,59500,4925,30281,23979,315,2214,2009,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y2010,70995,5739,63063,5048,31721,25936,357,2193,2010,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y2011,73839,6399,65145,5472,32205,27079,389,2295,2011,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y2012,77076,7096,67517,5993,33388,27735,401,2463,2012,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y2013,79965,7433,69891,7112,33689,28661,429,2641,2013,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y2014,83566,7856,73073,8166,34246,30194,467,2637,2014,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Historical,Y2015,88803,8804,77268,9436,35131,32021,680,2732,2015,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Projected,Y2016,94073,9263,81885,9984,36680,34382,840,2925,2016,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Projected,Y2017,99900,9781,87041,10602,38861,36718,860,3077,2017,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Projected,Y2018,106159,10365,92547,11357,41237,39021,933,3247,2018,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Projected,Y2019,113491,10964,99103,12071,44314,41709,1009,3424,2019,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Projected,Y2020,121539,11677,106235,12743,47856,44547,1090,3627,2020,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Projected,Y2021,130051,12416,113790,13469,51653,47480,1188,3846,2021,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Projected,Y2022,139239,13183,121978,14259,55848,50578,1293,4079,2022,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Projected,Y2023,148907,14010,130570,15093,60200,53872,1404,4327,2023,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Projected,Y2024,159163,14934,139636,16005,64731,57376,1523,4593,2024,,,,,,,,,,,,,
Home Health Care Expenditures,2/15/2017,Projected,Y2025,170002,15925,149203,16960,69473,61117,1654,4874,2025,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1960,1626,1626,0,0,0,0,0,0,1960,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1961,1764,1764,0,0,0,0,0,0,1961,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1962,1901,1901,0,0,0,0,0,0,1962,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1963,1944,1944,0,0,0,0,0,0,1963,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1964,2083,2083,0,0,0,0,0,0,1964,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1965,2211,2211,0,0,0,0,0,0,1965,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1966,2377,2375,2,0,2,0,0,0,1966,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1967,2527,2522,5,0,5,0,0,0,1967,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1968,2677,2671,6,0,6,0,0,0,1968,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1969,2967,2960,7,0,7,0,0,0,1969,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1970,3325,3316,9,0,9,0,0,0,1970,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1971,3470,3460,10,0,10,0,0,0,1971,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1972,3672,3659,13,0,13,0,0,0,1972,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1973,3983,3968,15,0,15,0,0,0,1973,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1974,4491,4470,21,0,21,0,0,0,1974,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1975,4949,4921,28,0,28,0,0,0,1975,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1976,5433,5399,34,0,34,0,0,0,1976,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1977,6083,6039,44,0,44,0,0,0,1977,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1978,7137,7078,59,0,59,0,0,0,1978,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1979,8450,8376,74,0,74,0,0,0,1979,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1980,9801,9703,98,0,98,0,0,0,1980,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1981,11296,11166,130,0,130,0,0,0,1981,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1982,12581,12413,168,0,168,0,0,0,1982,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1983,13755,13536,219,0,219,0,0,0,1983,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1984,14976,14722,254,0,254,0,0,0,1984,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1985,15955,15668,287,0,287,0,0,0,1985,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1986,17063,16734,329,0,329,0,0,0,1986,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1987,18265,17885,380,0,380,0,0,0,1987,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1988,19376,18958,418,0,418,0,0,0,1988,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1989,20819,20343,476,0,476,0,0,0,1989,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1990,22446,21889,557,0,557,0,0,0,1990,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1991,23247,22505,742,0,742,0,0,0,1991,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1992,23213,22348,865,0,865,0,0,0,1992,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1993,23742,22783,959,0,959,0,0,0,1993,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1994,24310,23290,1020,0,1020,0,0,0,1994,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1995,25100,23893,1207,0,1207,0,0,0,1995,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1996,26004,24777,1227,0,1227,0,0,0,1996,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1997,27581,26248,1333,0,1333,0,0,0,1997,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1998,28574,27224,1350,0,1350,0,0,0,1998,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y1999,30624,29296,1327,0,1327,0,0,0,1999,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y2000,31568,30134,1434,0,1434,0,0,0,2000,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y2001,32250,30669,1581,0,1581,0,0,0,2001,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y2002,33292,31614,1678,0,1678,0,0,0,2002,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y2003,36199,34338,1861,0,1861,0,0,0,2003,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y2004,38088,36063,2025,0,2025,0,0,0,2004,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y2005,40805,38663,2142,0,2142,0,0,0,2005,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y2006,43733,41436,2297,0,2297,0,0,0,2006,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y2007,47752,45212,2540,0,2540,0,0,0,2007,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y2008,49472,46754,2718,0,2718,0,0,0,2008,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y2009,50328,47532,2796,0,2796,0,0,0,2009,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y2010,51246,48232,3013,0,3013,0,0,0,2010,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y2011,52825,49689,3135,0,3135,0,0,1,2011,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y2012,53733,50450,3281,0,3281,0,0,2,2012,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y2013,55672,52946,2724,0,2724,0,0,2,2013,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y2014,56912,54620,2292,0,2292,0,0,0,2014,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Historical,Y2015,59030,56778,2253,0,2253,0,0,0,2015,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Projected,Y2016,60908,58731,2176,0,2176,0,0,0,2016,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Projected,Y2017,63698,61516,2181,0,2181,0,0,0,2017,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Projected,Y2018,66909,64544,2364,0,2364,0,0,0,2018,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Projected,Y2019,70329,67797,2532,0,2532,0,0,0,2019,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Projected,Y2020,74381,71634,2747,0,2747,0,0,0,2020,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Projected,Y2021,78529,75569,2960,0,2960,0,0,0,2021,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Projected,Y2022,82846,79667,3178,0,3178,0,0,0,2022,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Projected,Y2023,87304,83893,3411,0,3411,0,0,0,2023,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Projected,Y2024,91929,88272,3656,0,3656,0,0,0,2024,,,,,,,,,,,,,
Non-Durable Medical Products Expenditures,2/15/2017,Projected,Y2025,96676,92773,3903,0,3903,0,0,0,2025,,,,,,,,,,,,,
Prescription Drug Expenditures,2/15/2017,Historical,Y1960,2676,2570,39,35,0,0,4,67,1960,2676,35,272.9,272900,0.00980579,0.000128252,,,,,0.980578967,,
Prescription Drug Expenditures,2/15/2017,Historical,Y1961,2718,2595,42,38,0,0,4,81,1961,2718,38,280.5,280500,0.00968984,0.000135472,0.085714286,0.027849029,0.027849029,,0.968983957,,
Prescription Drug Expenditures,2/15/2017,Historical,Y1962,3029,2889,46,42,0,0,4,94,1962,3029,42,299.4,299400,0.0101169,0.000140281,0.105263158,,0.067379679,,1.011690047,,
Prescription Drug Expenditures,2/15/2017,Historical,Y1963,3159,3005,47,43,0,0,4,107,1963,3159,43,314.9,314900,0.010031756,0.000136551,0.023809524,,0.051770207,,1.003175611,,
Prescription Drug Expenditures,2/15/2017,Historical,Y1964,3347,3138,85,82,0,0,4,124,1964,3347,82,337.8,337800,0.00990823,0.000242747,0.906976744,,0.072721499,,0.990822972,,
Prescription Drug Expenditures,2/15/2017,Historical,Y1965,3715,3441,133,130,0,0,3,140,1965,3715,130,363.8,363800,0.010211655,0.000357339,0.585365854,,0.07696862,,1.021165476,,
Prescription Drug Expenditures,2/15/2017,Historical,Y1966,3985,3594,288,182,0,103,3,104,1966,3985,182,400.3,400300,0.009955034,0.000454659,0.4,,0.100329852,,0.995503372,,
Prescription Drug Expenditures,2/15/2017,Historical,Y1967,4227,3712,445,238,0,205,3,69,1967,4227,238,429.0,429000,0.009853147,0.000554779,0.307692308,,0.071696228,,0.985314685,,
Prescription Drug Expenditures,2/15/2017,Historical,Y1968,4742,4120,540,317,0,219,4,82,1968,4742,317,472.0,472000,0.01004661,0.00067161,0.331932773,,0.1002331,,1.004661017,,
